name,phone,phone.phones_enricher.carrier_type,email,email.emails_validator.status,website,city,state_code,rating,reviews,category,subtypes,full_name,first_name,last_name,title,contact_phone,contact_phone.phones_enricher.carrier_type,vertical,lead_score,email_verified,source_file
Medallion Pools of Texas,+1 469-667-7426,mobile,medallion@medallionpooldesign.com,RECEIVING,http://www.medallionpooldesign.com/,McKinney,TX,4.8,166.0,Swimming pool contractor,"Swimming pool contractor, Construction company, Pool cleaning service, Swimming pool repair service",Medallion Pools,Medallion,Pools,owner,,,pool_contractor,79,False,Outscraper-20260122015301m55_swimming_pool_contractor_+3.xlsx
Synthetic GreenScapes,+1 972-640-7101,landline,michael@syntheticgreenscapes.com,INVALID,https://www.syntheticgreenscapes.com/,,,4.9,172.0,Turf supplier,"Turf supplier, Service establishment, Lawn care service",Michael Grant,Michael,Grant,sales,12142089156.0,mobile,turf_installer,79,False,Outscraper-20260122015357m07_artificial_turf_installer_+3 (1).xlsx
Medallion Pools of Texas,+1 469-667-7426,mobile,shonna@medallionpooldesign.com,RECEIVING,http://www.medallionpooldesign.com/,McKinney,TX,4.8,166.0,Swimming pool contractor,"Swimming pool contractor, Construction company, Pool cleaning service, Swimming pool repair service",Shonna Brito,Shonna,Brito,owner and secretary,,,pool_contractor,79,False,Outscraper-20260122015301m55_swimming_pool_contractor_+3.xlsx
Fortress Foundation Systems,+1 469-771-4877,landline,chris@fortressfoundationsystems.com,INVALID,https://www.fortressfoundationsystems.com/%3Futm_source%3Dlocal%26utm_medium%3Dorganic-web-rockwall%26utm_campaign%3Dgmb,Rockwall,TX,4.9,357.0,Foundation,"Foundation, Concrete contractor, Contractor, Drainage service, Retaining wall supplier, Soil testing service, Waterproofing service",Chris Kennard,Chris,Kennard,business development,2144151918.0,mobile,wall_contractor,79,False,Outscraper-20260122015745m61_retaining_wall_contractor_+3 (1).xlsx
Fortress Foundation Systems,+1 469-771-4877,landline,cathy@fortressfoundationsystems.com,INVALID,https://www.fortressfoundationsystems.com/%3Futm_source%3Dlocal%26utm_medium%3Dorganic-web-rockwall%26utm_campaign%3Dgmb,Rockwall,TX,4.9,357.0,Foundation,"Foundation, Concrete contractor, Contractor, Drainage service, Retaining wall supplier, Soil testing service, Waterproofing service",Cathy Jo Hood,Cathy,Jo Hood,customer service executive,19728395358.0,mobile,wall_contractor,79,False,Outscraper-20260122015745m61_retaining_wall_contractor_+3 (1).xlsx
Synthetic Grass Pros,+1 972-420-7800,fixed line,matthewtellez@gmail.com,RECEIVING,https://www.syntheticgrasspros.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dlocal_dallas,Dallas,TX,4.9,141.0,Turf supplier,"Turf supplier, Landscaper",Matthew Tellez,Matthew,Tellez,project manager and estimator,16237038725.0,mobile,turf_installer,78,False,Outscraper-20260122015357m07_artificial_turf_installer_+3 (1).xlsx
Southern Seasons Landscaping and Design,+1 972-623-8361,mobile,team@latofonts.com,RECEIVING,https://southernseasonstx.com/,Rockwall,TX,5.0,114.0,Landscaper,"Landscaper, Landscape designer, Landscape lighting designer",,,,,,,wall_contractor,76,False,Outscraper-20260122015745m61_retaining_wall_contractor_+3 (1).xlsx
Elite Swimming Pool & Spa Service,+1 469-855-4505,mobile,elitesss1@gmail.com,RECEIVING,http://elitesss.com/%3Futm_source%3DGoogle%2BProfile%26utm_medium%3Dorganic,Rockwall,TX,4.8,125.0,Swimming pool contractor,"Swimming pool contractor, Pool cleaning service, Swimming pool repair service",,,,,,,pool_contractor,76,False,Outscraper-20260122015301m55_swimming_pool_contractor_+3.xlsx
Southern Seasons Landscaping and Design,+1 972-623-8361,mobile,info@ndiscovered.com,INVALID,https://southernseasonstx.com/,Rockwall,TX,5.0,114.0,Landscaper,"Landscaper, Landscape designer, Landscape lighting designer",,,,,,,wall_contractor,76,False,Outscraper-20260122015745m61_retaining_wall_contractor_+3 (1).xlsx
Southern Seasons Landscaping and Design,+1 972-623-8361,mobile,contact@sansoxygen.com,RECEIVING,https://southernseasonstx.com/,Rockwall,TX,5.0,114.0,Landscaper,"Landscaper, Landscape designer, Landscape lighting designer",,,,,,,wall_contractor,76,False,Outscraper-20260122015745m61_retaining_wall_contractor_+3 (1).xlsx
My Pool Guy (Timothy Mott LLC),+1 469-651-9449,mobile,office@mypoolguy.com,RECEIVING,https://mypoolguy.com/,Royse City,TX,4.9,114.0,Swimming pool contractor,Swimming pool contractor,,,,,,,pool_contractor,75,False,Outscraper-20260122015301m55_swimming_pool_contractor_+3.xlsx
My Pool Guy (Timothy Mott LLC),+1 469-651-9449,mobile,tom@mypoolguy.com,INVALID,https://mypoolguy.com/,Royse City,TX,4.9,114.0,Swimming pool contractor,Swimming pool contractor,Tom Ernsdorf,Tom,Ernsdorf,business owner,,,pool_contractor,75,False,Outscraper-20260122015301m55_swimming_pool_contractor_+3.xlsx
My Pool Guy (Timothy Mott LLC),+1 469-651-9449,mobile,tim@mypoolguy.com,RECEIVING,https://mypoolguy.com/,Royse City,TX,4.9,114.0,Swimming pool contractor,Swimming pool contractor,,,,,,,pool_contractor,75,False,Outscraper-20260122015301m55_swimming_pool_contractor_+3.xlsx
Morton Pool Solutions / Renovations,+1 469-571-9608,mobile,mortonpoolsolutions@gmail.com,RECEIVING,https://mortonpoolsolutions.com/,Wylie,TX,5.0,94.0,Swimming pool contractor,"Swimming pool contractor, Concrete contractor, Deck builder, Demolition contractor, Outdoor swimming pool, Ready mix concrete supplier, Remodeler, Swimming pool repair service",,,,,,,pool_contractor,74,False,Outscraper-20260122015301m55_swimming_pool_contractor_+3.xlsx
JCL Landscape Services,+1 817-716-3095,mobile,steve@jcllandscaping.com,INVALID,http://jcllandscaping.com/,Colleyville,TX,4.8,104.0,Retaining wall supplier,"Retaining wall supplier, Landscape designer",steve suer,Steve,Suer,general manager,,,wall_contractor,74,False,Outscraper-20260122015745m61_retaining_wall_contractor_+3 (1).xlsx
JCL Landscape Services,+1 817-716-3095,mobile,david@jcllandscaping.com,INVALID,http://jcllandscaping.com/,Colleyville,TX,4.8,104.0,Retaining wall supplier,"Retaining wall supplier, Landscape designer",david fryer,David,Fryer,chief executive officer,,,wall_contractor,74,False,Outscraper-20260122015745m61_retaining_wall_contractor_+3 (1).xlsx
JCL Landscape Services,+1 817-716-3095,mobile,don@jcllandscaping.com,INVALID,http://jcllandscaping.com/,Colleyville,TX,4.8,104.0,Retaining wall supplier,"Retaining wall supplier, Landscape designer",don bosnick,Don,Bosnick,president,,,wall_contractor,74,False,Outscraper-20260122015745m61_retaining_wall_contractor_+3 (1).xlsx
Freddie America LLC – Generac & Electrical Solutions,+1 214-537-5287,mobile,freddie1@freddieamerica.com,INVALID,https://freddieamerica.com/,,,4.9,94.0,Electrician,"Electrician, Service establishment, Electric generator shop",,,,,,,pool_contractor,73,False,Outscraper-20260122015301m55_swimming_pool_contractor_+3.xlsx
DFW Turf Solutions,+1 469-871-6634,landline,bennett@dfwturf.com.if,INVALID,https://dfwturf.com/university-park%3Futm_campaign%3DGBP_Lakewood%26utm_source%3DGoogle_Business_Profile%26utm_medium%3DGoogle_Business_Profile,Dallas,TX,5.0,86.0,Turf supplier,"Turf supplier, Landscape designer",Bennett Barrier,Bennett,Barrier,chief executive officer,5129222346.0,mobile,turf_installer,73,False,Outscraper-20260122015357m07_artificial_turf_installer_+3 (1).xlsx
Ruben's Mobile RV Services,+1 580-478-7055,mobile,,,https://rubensmobilervservice.square.site/,Wylie,TX,4.7,87.0,RV repair shop,RV repair shop,,,,,,,equipment_repair,72,False,Outscraper-20260122015520m63_heavy_equipment_repair_+3 (1).xlsx
Independent Landscaping,+1 214-907-0047,mobile,independentlandscaping18@gmail.com,RECEIVING,http://www.independentlandscapingtx.com/,Royse City,TX,4.8,83.0,Landscape designer,"Landscape designer, Fence contractor, Lawn sprinkler system contractor, Masonry contractor",,,,,,,wall_contractor,72,False,Outscraper-20260122015745m61_retaining_wall_contractor_+3 (1).xlsx
Independent Landscaping,+1 214-907-0047,mobile,il18@gmail.com,INVALID,http://www.independentlandscapingtx.com/,Royse City,TX,4.8,83.0,Landscape designer,"Landscape designer, Fence contractor, Lawn sprinkler system contractor, Masonry contractor",,,,,,,wall_contractor,72,False,Outscraper-20260122015745m61_retaining_wall_contractor_+3 (1).xlsx
TX Artificial Turf & Design,+1 469-560-7202,mobile,info@turfanddesign.com,RECEIVING,https://turfanddesign.com/,Rockwall,TX,5.0,79.0,Turf supplier,"Turf supplier, Landscape architect, Landscape designer, Landscaping supply store",,,,,,,turf_installer,72,False,Outscraper-20260122015357m07_artificial_turf_installer_+3 (1).xlsx
TX Artificial Turf & Design,+1 469-560-7202,mobile,support@turfanddesign.com,RECEIVING,https://turfanddesign.com/,Rockwall,TX,5.0,79.0,Turf supplier,"Turf supplier, Landscape architect, Landscape designer, Landscaping supply store",,,,,,,turf_installer,72,False,Outscraper-20260122015357m07_artificial_turf_installer_+3 (1).xlsx
TX Artificial Turf & Design,+1 469-560-7202,mobile,team@latofonts.com,RECEIVING,https://turfanddesign.com/,Rockwall,TX,5.0,79.0,Turf supplier,"Turf supplier, Landscape architect, Landscape designer, Landscaping supply store",,,,,,,turf_installer,72,False,Outscraper-20260122015357m07_artificial_turf_installer_+3 (1).xlsx
Podleski Construction,+1 972-415-1620,mobile,podleskiconstruction@yahoo.com,RECEIVING,https://podleskilc.com/,Rockwall,TX,5.0,59.0,Fence contractor,"Fence contractor, Construction company",,,,,,,wall_contractor,70,False,Outscraper-20260122015745m61_retaining_wall_contractor_+3 (1).xlsx
Artificial Grass TX,+1 713-340-4342,mobile,info@artificialgrasstx.com,RECEIVING,http://artificialgrasstx.com/,League City,TX,5.0,51.0,Turf supplier,"Turf supplier, Golf shop, Landscape designer",,,,,,,turf_installer,70,False,Outscraper-20260122015357m07_artificial_turf_installer_+3 (1).xlsx
DFW Pressure Washing,+1 469-887-1975,mobile,micah@micahrich.com,RECEIVING,http://www.dfwpressurewashing.com/,,,5.0,55.0,Pressure washing service,"Pressure washing service, Service establishment, Paint stripping service, Window cleaning service",,,,,,,pool_contractor,70,False,Outscraper-20260122015301m55_swimming_pool_contractor_+3.xlsx
DFW Pressure Washing,+1 469-887-1975,mobile,james@dfwpressurewashing.com,RECEIVING,http://www.dfwpressurewashing.com/,,,5.0,55.0,Pressure washing service,"Pressure washing service, Service establishment, Paint stripping service, Window cleaning service",,,,,,,pool_contractor,70,False,Outscraper-20260122015301m55_swimming_pool_contractor_+3.xlsx
"WinterGreen Synthetic Grass | Artificial Turf Installation Dallas, TX",+1 469-537-4747,landline,jonathan@wintergreengrass.com,INVALID,https://www.wintergreengrass.com/,Dallas,TX,5.0,59.0,Turf supplier,"Turf supplier, Artificial plant supplier, Golf course builder, Landscape architect, Landscape designer, Landscaper, Landscaping supply store, Lawn care service, Playground equipment supplier, Tennis court construction company",Jonathan Salas,Jonathan,Salas,company driver,4696829328.0,mobile,turf_installer,70,False,Outscraper-20260122015357m07_artificial_turf_installer_+3 (1).xlsx
Artificial Turf Maintenance,+1 469-955-1262,mobile,info@artificialturfmaintenance.com,UNKNOWN,http://artificialturfmaintenance.com/,,,5.0,57.0,Lawn care service,"Lawn care service, Service establishment, Landscaper",,,,,,,turf_installer,70,False,Outscraper-20260122015357m07_artificial_turf_installer_+3 (1).xlsx
Artificial Turf Maintenance,+1 469-955-1262,mobile,email-info@artificialturfmaintenance.com,UNKNOWN,http://artificialturfmaintenance.com/,,,5.0,57.0,Lawn care service,"Lawn care service, Service establishment, Landscaper",,,,,,,turf_installer,70,False,Outscraper-20260122015357m07_artificial_turf_installer_+3 (1).xlsx
Vera's Outdoor Solutions LLC,+1 469-888-2824,mobile,jericovera145@gmail.com,RECEIVING,https://verasoutdoorsolutions.com/,,,4.9,63.0,Landscaper,"Landscaper, Service establishment",,,,,,,turf_installer,70,False,Outscraper-20260122015357m07_artificial_turf_installer_+3 (1).xlsx
Turf It All,+1 972-565-0466,mobile,info@turfitall.com,RECEIVING,http://www.turfitall.com/,Richardson,TX,5.0,55.0,Turf supplier,"Turf supplier, Landscape designer",,,,,,,turf_installer,70,False,Outscraper-20260122015357m07_artificial_turf_installer_+3 (1).xlsx
Floor Coverings International of Northeast DFW,+1 469-402-3444,landline,twood@tfdc.com,INVALID,https://floorcoveringsinternational.com/locations/us/tx/northeast-dfw/%3Futm_source%3Dgoogle%26utm_medium%3Dgb,Wylie,TX,5.0,58.0,Flooring store,"Flooring store, Carpet installer, Carpet store, Floor refinishing service, Flooring contractor, Tile store, Wood and laminate flooring supplier, Wood floor installation service",Tom Wood,Tom,Wood,president and chief executive officer,14042427579.0,mobile,floor_coating,70,False,Outscraper-20260122015616m1a_epoxy_floor_coating_+3 (1).xlsx
Podleski Construction,+1 972-415-1620,mobile,info@mysite.com,RECEIVING,https://podleskilc.com/,Rockwall,TX,5.0,59.0,Fence contractor,"Fence contractor, Construction company",,,,,,,wall_contractor,70,False,Outscraper-20260122015745m61_retaining_wall_contractor_+3 (1).xlsx
205 Diesel Repair,+1 903-440-1620,mobile,service@205diesel.com,RECEIVING,https://www.205diesel.com/,Rockwall,TX,4.6,71.0,Truck repair shop,Truck repair shop,,,,,,,equipment_repair,70,False,Outscraper-20260122015520m63_heavy_equipment_repair_+3 (1).xlsx
Vera's Outdoor Solutions LLC,+1 469-888-2824,mobile,jericovera145@gmail.com,RECEIVING,https://verasoutdoorsolutions.com/,,,4.9,63.0,Landscaper,"Landscaper, Service establishment",,,,,,,repair,70,False,Outscraper-20260122014617m10_foundation_repair_+2 (1).xlsx
Vera's Outdoor Solutions LLC,+1 469-888-2824,mobile,jericovera145@gmail.com,RECEIVING,https://verasoutdoorsolutions.com/,,,4.9,63.0,Landscaper,"Landscaper, Service establishment",,,,,,,wall_contractor,70,False,Outscraper-20260122015745m61_retaining_wall_contractor_+3 (1).xlsx
TX Artificial Turf & Design,+1 469-560-7202,mobile,info@turfanddesign.com,RECEIVING,https://www.turfanddesign.com/,Dallas,TX,5.0,47.0,Landscaper,"Landscaper, Turf supplier",,,,,,,turf_installer,69,False,Outscraper-20260122015357m07_artificial_turf_installer_+3 (1).xlsx
Avatar Landscaping and Construction,+1 469-855-8022,mobile,avatarslandscaping@gmail.com,RECEIVING,https://avatarlandscapingandconstruction.com/,,,4.8,57.0,Landscape designer,"Landscape designer, Demolition contractor, Service establishment, Landscape architect, Landscape lighting designer, Landscaper, Lawn care service, Masonry contractor, Patio enclosure supplier, Retaining wall supplier, Tree service",,,,,,,pool_contractor,69,False,Outscraper-20260122015301m55_swimming_pool_contractor_+3.xlsx
Fantastic Turf,+1 972-816-6745,mobile,josh@fantasticturf.com,UNKNOWN,https://www.fantasticturf.com/,Dallas,TX,4.9,59.0,Turf supplier,Turf supplier,,,,,,,turf_installer,69,False,Outscraper-20260122015357m07_artificial_turf_installer_+3 (1).xlsx
Avatar Landscaping and Construction,+1 469-855-8022,mobile,eric@avatarlandscapingandconstruction.com,RECEIVING,https://avatarlandscapingandconstruction.com/,,,4.8,57.0,Landscape designer,"Landscape designer, Demolition contractor, Service establishment, Landscape architect, Landscape lighting designer, Landscaper, Lawn care service, Masonry contractor, Patio enclosure supplier, Retaining wall supplier, Tree service",,,,,,,wall_contractor,69,False,Outscraper-20260122015745m61_retaining_wall_contractor_+3 (1).xlsx
Avatar Landscaping and Construction,+1 469-855-8022,mobile,avatarslandscaping@gmail.com,RECEIVING,https://avatarlandscapingandconstruction.com/,,,4.8,57.0,Landscape designer,"Landscape designer, Demolition contractor, Service establishment, Landscape architect, Landscape lighting designer, Landscaper, Lawn care service, Masonry contractor, Patio enclosure supplier, Retaining wall supplier, Tree service",,,,,,,wall_contractor,69,False,Outscraper-20260122015745m61_retaining_wall_contractor_+3 (1).xlsx
TX Artificial Turf & Design,+1 469-560-7202,mobile,team@latofonts.com,RECEIVING,https://www.turfanddesign.com/,Dallas,TX,5.0,47.0,Landscaper,"Landscaper, Turf supplier",,,,,,,turf_installer,69,False,Outscraper-20260122015357m07_artificial_turf_installer_+3 (1).xlsx
Avatar Landscaping and Construction,+1 469-855-8022,mobile,eric@avatarlandscapingandconstruction.com,RECEIVING,https://avatarlandscapingandconstruction.com/,,,4.8,57.0,Landscape designer,"Landscape designer, Demolition contractor, Service establishment, Landscape architect, Landscape lighting designer, Landscaper, Lawn care service, Masonry contractor, Patio enclosure supplier, Retaining wall supplier, Tree service",,,,,,,pool_contractor,69,False,Outscraper-20260122015301m55_swimming_pool_contractor_+3.xlsx
Clicks Emergency Services,+1 214-766-6722,mobile,ed@clickses.com,RECEIVING,https://clickses.com/%3Fy_source%3D1_MTA0MzM5NzMwOC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,,5.0,41.0,Water damage restoration service,"Water damage restoration service, Dry wall contractor, Service establishment",,,,,,,damage_restoration_service,69,False,Outscraper-20260118234903s1b_water_damage_restoration_service_+8 (3).xlsx
TX Artificial Turf & Design,+1 469-560-7202,mobile,support@turfanddesign.com,RECEIVING,https://www.turfanddesign.com/,Dallas,TX,5.0,47.0,Landscaper,"Landscaper, Turf supplier",,,,,,,turf_installer,69,False,Outscraper-20260122015357m07_artificial_turf_installer_+3 (1).xlsx
Avatar Landscaping and Construction,+1 469-855-8022,mobile,reeve@avatarlandscapingandconstruction.com,RECEIVING,https://avatarlandscapingandconstruction.com/,,,4.8,57.0,Landscape designer,"Landscape designer, Demolition contractor, Service establishment, Landscape architect, Landscape lighting designer, Landscaper, Lawn care service, Masonry contractor, Patio enclosure supplier, Retaining wall supplier, Tree service",,,,,,,pool_contractor,69,False,Outscraper-20260122015301m55_swimming_pool_contractor_+3.xlsx
Avatar Landscaping and Construction,+1 469-855-8022,mobile,reeve@avatarlandscapingandconstruction.com,RECEIVING,https://avatarlandscapingandconstruction.com/,,,4.8,57.0,Landscape designer,"Landscape designer, Demolition contractor, Service establishment, Landscape architect, Landscape lighting designer, Landscaper, Lawn care service, Masonry contractor, Patio enclosure supplier, Retaining wall supplier, Tree service",,,,,,,wall_contractor,69,False,Outscraper-20260122015745m61_retaining_wall_contractor_+3 (1).xlsx
Epoxy Guys,+1 214-466-0216,mobile,Dallasepoxyguys@gmail.com,RECEIVING,https://www.facebook.com/pg/DallasEpoxyGuys,,,5.0,32.0,Flooring contractor,"Flooring contractor, Service establishment",,,,,,,floor_coating,68,False,Outscraper-20260122015616m1a_epoxy_floor_coating_+3 (1).xlsx
Pro Grade Services,+1 972-800-6399,mobile,pgsreed@yahoo.com,RECEIVING,https://progradeservices.com/,,,5.0,32.0,Drainage service,"Drainage service, Service establishment",,,,,,,wall_contractor,68,False,Outscraper-20260122015745m61_retaining_wall_contractor_+3 (1).xlsx
Living Water Custom Pools,+1 469-662-3600,mobile,lwcpstaff@gmail.com,RECEIVING,http://livingwatercustompools.com/,Plano,TX,4.8,46.0,Swimming pool contractor,Swimming pool contractor,,,,,,,pool_contractor,68,False,Outscraper-20260122015301m55_swimming_pool_contractor_+3.xlsx
Masterpiece Concrete LLC,+1 305-490-2168,mobile,masterpiececoncrete@hotmail.com,RECEIVING,https://www.masterpiececoncretecompany.com/,,,5.0,36.0,Empresa de hormigonado,"Concrete contractor, Service establishment",,,,,,,repair,68,False,Outscraper-20260122014617m10_foundation_repair_+2 (1).xlsx
Ken Winn the Tool Man Mobile RV Repairs,+1 903-340-4382,mobile,micah@micahrich.com,RECEIVING,https://kenwinnthetoolman.online/,Forney,TX,5.0,31.0,RV repair shop,RV repair shop,,,,,,,equipment_repair,68,False,Outscraper-20260122015520m63_heavy_equipment_repair_+3 (1).xlsx
Ken Winn the Tool Man Mobile RV Repairs,+1 903-340-4382,mobile,kenwinnthetoolman@gmail.com,RECEIVING,https://kenwinnthetoolman.online/,Forney,TX,5.0,31.0,RV repair shop,RV repair shop,,,,,,,equipment_repair,68,False,Outscraper-20260122015520m63_heavy_equipment_repair_+3 (1).xlsx
Living Water Custom Pools,+1 469-662-3600,mobile,info@livingwatercustompools.com,RECEIVING,http://livingwatercustompools.com/,Plano,TX,4.8,46.0,Swimming pool contractor,Swimming pool contractor,,,,,,,pool_contractor,68,False,Outscraper-20260122015301m55_swimming_pool_contractor_+3.xlsx
PuroClean of Rockwall,+1 972-961-4333,landline,ukjackusa@gmail.com,RECEIVING,https://www.puroclean.com/rockwall-tx,Rockwall,TX,5.0,30.0,Water damage restoration service,Water damage restoration service,Jonathan Beever,Jonathan,Beever,president,18458534433,mobile,damage_restoration_service,68,False,Outscraper-20260118234903s1b_water_damage_restoration_service_+8 (3).xlsx
Custom Pools By Brian,+1 469-307-3964,mobile,brian@custompoolsbybrian.com,UNKNOWN,https://www.custompoolsbybrian.com/,Nevada,TX,5.0,34.0,Swimming pool contractor,Swimming pool contractor,,,,,,,pool_contractor,68,False,Outscraper-20260122015301m55_swimming_pool_contractor_+3.xlsx
Custom Pools By Brian,+1 469-307-3964,mobile,webdev@poolbuilder-marketing.com,RECEIVING,https://www.custompoolsbybrian.com/,Nevada,TX,5.0,34.0,Swimming pool contractor,Swimming pool contractor,,,,,,,pool_contractor,68,False,Outscraper-20260122015301m55_swimming_pool_contractor_+3.xlsx
1-800 Water Damage of McKinney & Frisco,+1 972-888-6013,landline,adamredhoward@gmail.com,RECEIVING,https://www.1800waterdamage.com/mckinney-frisco/,McKinney,TX,5.0,34.0,Water damage restoration service,Water damage restoration service,Adam Howard,Adam,Howard,president,19197459128,mobile,damage_restoration_service,68,False,Outscraper-20260118234903s1b_water_damage_restoration_service_+8 (3).xlsx
Lawn & Golf Turfs of DFW,+1 214-680-4653,mobile,,,https://lawnandgolfturfs.com/,,,5.0,34.0,Turf supplier,"Turf supplier, Service establishment",,,,,,,turf_installer,68,False,Outscraper-20260122015357m07_artificial_turf_installer_+3 (1).xlsx
Synthetic Turf Experts,+1 972-363-9889,mobile,syntheticturfexperts@gmail.com,RECEIVING,https://syntheticturfexperts.com/,Frisco,TX,5.0,37.0,Landscaper,"Landscaper, Turf supplier",,,,,,,turf_installer,68,False,Outscraper-20260122015357m07_artificial_turf_installer_+3 (1).xlsx
Custom Pools By Brian,+1 469-307-3964,mobile,custompoolsbybrian@gmail.com,RECEIVING,https://www.custompoolsbybrian.com/,Nevada,TX,5.0,34.0,Swimming pool contractor,Swimming pool contractor,,,,,,,pool_contractor,68,False,Outscraper-20260122015301m55_swimming_pool_contractor_+3.xlsx
North Texas Turf - Synthetic Turf Supplier | Artificial Turf Installation & Maintenance,+1 940-641-4478,mobile,info@northtxturf.com,RECEIVING,https://www.northtxturf.com/,,,5.0,34.0,Turf supplier,"Turf supplier, Service establishment, Garden center, Landscaper, Lawn care service, Playground equipment supplier",,,,,,,turf_installer,68,False,Outscraper-20260122015357m07_artificial_turf_installer_+3 (1).xlsx
TurfRocks,+1 214-529-2134,mobile,sales@turfrocks.com,RECEIVING,http://www.turfrocks.com/,Anna,TX,4.8,48.0,Landscape designer,Landscape designer,,,,,,,turf_installer,68,False,Outscraper-20260122015357m07_artificial_turf_installer_+3 (1).xlsx
MG mobile RV repair,+1 469-463-3201,mobile,mai9026@gmail.com,RECEIVING,https://mgmobilervrepair.com/,Nevada,TX,4.9,41.0,RV repair shop,"RV repair shop, Mechanic",,,,,,,equipment_repair,68,False,Outscraper-20260122015520m63_heavy_equipment_repair_+3 (1).xlsx
